date,Lionel Messi,Cristiano Ronaldo,Narender Modi,Rahul Gandhi,BJP,Congress,Ram Mandir,Cricket World Cup,Russia,Israel,Virat Kohli,Rohit Sharma,Indian Premier League,UEFA Champions League,English Premier League,ChatGPT,iPhone 15,Shahrukh Khan,Ranbir Kapoor,Income Tax,Elon Musk,Twitter,Disney,Oppenheimer,Barbie,GST ,Gaming
01/01/23,52,100,25,23,15,20,21,1,66,1,13,7,4,10,87,9,1,39,10,17,100,87,38,1,5,76,80
08/01/23,50,61,15,21,13,17,19,1,61,1,32,18,3,7,62,18,1,42,9,15,61,78,38,1,5,87,79
15/01/23,41,58,17,16,14,18,19,2,69,1,45,21,4,8,82,29,2,41,7,14,44,86,39,1,5,91,81
22/01/23,50,50,21,17,14,18,19,2,67,2,19,21,3,7,67,35,2,100,13,16,51,95,39,1,5,67,76
29/01/23,47,64,33,15,14,18,24,2,63,2,13,7,3,7,50,38,1,81,11,30,48,89,37,0,4,69,72
05/02/23,48,72,15,12,13,19,20,1,62,2,14,17,4,9,63,46,2,47,13,18,46,80,35,0,4,80,86
12/02/23,36,32,14,9,13,16,18,3,56,1,15,10,5,78,83,45,2,39,13,17,52,86,42,0,4,77,86
19/02/23,37,47,15,7,15,20,18,4,77,2,15,10,6,62,65,50,3,37,13,21,39,79,37,0,5,83,88
26/02/23,56,41,15,15,20,22,17,1,73,1,12,8,7,14,74,51,2,31,17,22,71,84,38,0,5,76,89
05/03/23,35,37,21,11,17,19,17,1,64,1,14,9,8,77,65,44,2,30,33,22,35,73,37,0,5,74,95
12/03/23,62,33,16,9,14,19,19,1,61,1,32,11,7,81,53,48,2,29,27,38,35,73,35,0,5,83,93
19/03/23,55,45,15,100,17,21,21,1,60,1,16,11,7,14,37,48,2,36,16,61,47,75,38,0,5,78,84
26/03/23,55,39,34,54,17,20,69,1,61,2,16,8,33,12,37,54,2,45,14,100,37,90,41,1,5,68,89
02/04/23,79,33,19,22,23,19,22,1,59,2,25,14,73,12,61,53,2,53,10,31,39,90,38,1,10,68,87
09/04/23,58,28,22,13,37,21,20,1,50,3,24,13,78,76,54,59,3,61,11,23,75,81,34,1,9,89,85
16/04/23,42,28,17,14,26,21,17,1,50,2,27,17,81,84,58,54,2,41,10,20,45,82,32,1,7,90,73
23/04/23,39,26,25,13,26,17,17,1,52,1,23,15,89,15,77,56,2,34,9,21,36,73,33,1,7,68,71
30/04/23,54,29,26,11,22,21,16,1,56,1,37,28,100,13,84,53,2,32,13,18,34,78,32,1,6,61,77
07/05/23,59,25,22,19,45,48,15,1,48,1,21,14,83,64,55,55,2,31,12,16,44,76,32,4,5,71,72
14/05/23,41,23,21,15,33,39,17,1,52,1,29,13,100,76,70,69,3,34,9,17,39,73,35,2,6,87,72
21/05/23,81,31,42,10,17,21,17,1,50,1,40,24,83,13,59,66,3,25,9,19,48,77,35,2,8,65,79
28/05/23,63,30,90,20,19,22,19,2,48,1,26,15,51,15,36,68,3,26,9,23,56,87,36,2,8,67,90
04/06/23,100,30,16,13,16,18,19,2,59,1,31,23,7,39,13,73,4,24,9,27,52,76,50,3,7,80,96
11/06/23,40,28,19,10,23,19,22,2,62,1,22,14,5,19,14,80,5,28,12,33,48,79,41,4,8,84,100
18/06/23,50,47,31,22,19,21,22,2,98,1,15,7,4,4,11,82,4,27,9,35,92,81,39,4,8,85,98
25/06/23,35,27,22,13,19,19,21,4,94,1,15,5,3,3,8,73,6,27,10,58,77,79,37,5,9,70,92
02/07/23,35,28,23,21,24,24,22,3,59,2,14,7,3,3,8,76,5,30,8,44,71,82,38,8,12,78,88
09/07/23,48,25,16,11,18,17,18,1,58,1,15,14,3,2,10,80,5,25,8,58,75,81,38,22,19,100,92
16/07/23,57,28,18,15,21,18,17,1,60,1,25,12,3,2,8,75,6,19,9,70,73,83,37,100,78,99,88
23/07/23,43,32,15,10,18,17,18,1,58,1,16,16,3,2,8,75,6,15,9,83,64,100,33,90,100,74,88
30/07/23,81,53,15,36,18,16,22,1,58,2,12,6,3,3,12,76,7,16,8,60,50,94,33,32,44,83,88
06/08/23,42,39,15,36,22,19,21,2,58,1,11,6,3,3,35,83,8,17,8,27,49,91,32,17,28,93,89
13/08/23,45,40,22,21,23,20,21,2,65,2,14,5,3,5,63,80,10,23,9,25,50,93,36,12,20,89,89
20/08/23,44,34,18,14,19,25,21,2,100,1,13,6,3,4,65,83,10,22,8,25,70,98,38,7,14,88,83
27/08/23,33,30,14,11,18,18,19,3,62,1,20,14,3,15,55,76,13,26,7,23,63,83,57,6,11,64,82
03/09/23,30,31,16,11,20,17,20,3,60,1,15,13,3,6,41,76,16,50,8,22,38,82,47,5,11,80,79
10/09/23,43,35,24,9,20,19,22,3,62,1,45,32,3,5,33,76,100,49,6,20,47,95,73,4,12,96,76
17/09/23,34,49,49,13,22,20,23,5,63,1,23,15,3,100,51,80,59,41,8,22,44,88,48,5,11,95,85
24/09/23,19,24,19,9,26,16,22,13,49,1,24,18,3,9,60,83,51,31,18,23,35,86,42,4,8,82,81
01/10/23,17,24,32,10,21,19,22,60,55,13,20,10,3,79,45,84,34,31,14,18,34,86,53,3,8,83,95
08/10/23,15,25,53,7,25,24,21,68,69,100,42,53,3,8,35,86,26,27,13,17,29,88,95,2,7,94,85
15/10/23,19,30,17,7,34,46,31,71,58,48,52,34,2,6,29,82,23,25,11,15,28,86,69,3,6,99,81
22/10/23,16,28,15,7,28,49,56,88,57,28,49,28,3,67,44,81,21,23,12,14,31,81,80,3,7,71,74
29/10/23,29,43,17,8,32,45,35,100,50,21,61,42,3,8,48,88,19,59,11,17,45,83,83,2,6,77,68
05/11/23,14,28,22,7,26,37,56,95,46,16,88,34,3,66,50,84,21,28,10,14,59,85,73,5,5,78,73
12/11/23,16,29,61,9,25,34,71,87,44,15,100,64,4,8,38,80,24,33,14,10,50,84,99,5,6,71,76
19/11/23,18,28,100,15,25,25,37,82,45,11,70,100,4,7,33,91,20,28,24,14,63,85,100,6,6,80,68
26/11/23,14,24,15,10,27,35,38,5,44,7,25,21,7,71,48,92,19,27,60,14,52,82,45,4,5,69,71
03/12/23,12,23,21,21,100,100,66,2,50,7,19,11,6,8,78,98,19,33,100,16,36,83,45,3,6,78,72
10/12/23,12,26,19,11,42,44,100,2,50,6,25,12,5,13,100,100,21,38,65,16,44,77,41,3,7,86,83
