Mission,Spacecraft,Launch Date,Carrier rocket,Operator,Mission type,Outcome
"Pioneer 0

(Able I)[3]",Pioneer 0,17-Aug-58,Thor DM-18 Able I[3],USAF,Orbiter,Launch failure
,"First attempted launch beyond Earth orbit; failed to orbit due to turbopump 
gearbox malfunction resulting in first-stage explosion.[3] Reached apogee 
of 16 kilometres (10 mi).[4]",,,,,
Luna E-1 No.1,Luna E-1 No.1,23-Sep-58,Luna,OKB-1,Impactor,Launch failure
,Failed to orbit; rocket disintegrated due to excessive vibration.[3][5],,,,,
"*Pioneer 1*

(Able II)[3]",Pioneer 1,11-Oct-58,Thor DM-18 Able I[3],NASA,Orbiter,Launch failure
,"Failed to orbit; premature second-stage cutoff due to accelerometer 
failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres 
(70,700 mi).[6]",,,,,
Luna E-1 No.2,Luna E-1 No.2,11-Oct-58,Luna,OKB-1,Impactor,Launch failure
,Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5],,,,,
"*Pioneer 2*

(Able III)",Pioneer 2,08-Nov-58,Thor DM-18 Able I,NASA,Orbiter,Launch failure
,"Failed to orbit; premature second-stage cutoff due to erroneous command by 
ground controllers; third stage failed to ignite due to broken electrical 
connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]",,,,,
Luna E-1 No.3,Luna E-1 No.3,04-Dec-58,Luna,OKB-1,Impactor,Launch failure
,"Failed to orbit; seal failure in hydrogen peroxide pump cooling system 
resulted in core-stage underperformance.[3][5]",,,,,
*Pioneer 3*,*Pioneer 3*,06-Dec-58,Juno II,NASA,Flyby,Launch failure
,"Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 
kilometres (63,600 mi).[8]",,,,,
"Luna 1

(E-1 No.4)",Luna 1,02-Jan-59,Luna,OKB-1,Impactor,Partial failure
,"Carrier rocket guidance problem resulted in failure to impact Moon, flew 
past in a heliocentric orbit.[9] Closest approach 5,995 kilometres 
(3,725 mi) on 4 January.[10]*First spacecraft to fly by the Moon.*",,,,,
*Pioneer 4*,*Pioneer 4*,03-Mar-59,Juno II,NASA,Flyby,Partial failure
,"Second-stage overperformance resulted in flyby at greater altitude than 
expected, out of instrument range, with 58,983 kilometres (36,650 mi) of 
distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. 
spacecraft to leave Earth orbit.[11]",,,,,
E-1A No.1,E-1A No.1,18-Jun-59,Luna,OKB-1,Impactor,Launch failure
,Failed to orbit; guidance system malfunction.[9],,,,,
"Luna 2

(E-1A No.2)",Luna 2,12-Sep-59,Luna,OKB-1,Impactor,Successful
,"Successful impact at 21:02 on 14 September 1959. *First spacecraft to reach 
lunar surface*.[12] The impact made the Soviet Union the 1st country to 
reach the surface of the Moon.",,,,,
"Luna 3

(E-2A No.1)",Luna 3,04-Oct-59,Luna,OKB-1,Flyby,Successful
,Returned *first images of the far side of the Moon*.[13],,,,,
"Pioneer P-3

Able IVB",Pioneer P-3,26-Nov-59,Atlas-D Able,NASA,Orbiter,Launch failure
,Failed to orbit;[14] payload fairing disintegrated due to design fault.[9],,,,,
Luna E-3 No.1,Luna E-3 No.1,15-Apr-60,Luna,OKB-1,Flyby,Launch failure
,Failed to orbit; premature third-stage cutoff.[15],,,,,
Luna E-3 No.2,Luna E-3 No.2,16-Apr-60,Luna,OKB-1,Flyby,Launch failure
,Failed to orbit; rocket disintegrated ten seconds after launch.[15],,,,,
"Pioneer P-30

(Able VA)",Pioneer P-30,25-Sep-60,Atlas-D Able,NASA,Orbiter,Launch failure
,"Failed to orbit; second-stage oxidizer system malfunction resulting in 
premature cutoff.[16][15]",,,,,
"Pioneer P-31

(Able VB)",Pioneer P-31,15-Dec-60,Atlas-D Able,NASA,Orbiter,Launch failure
,"Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 
kilometres (7.6 mi). Second stage ignited while first stage was still 
attached and burning.[17][15]",,,,,
"Ranger 3

(P-34)",Ranger 3,26-Jan-62,Atlas LV-3 Agena-B,NASA,Impactor,Spacecraft failure
,Ranger 3 lander,,,,Lander,Spacecraft failure
,"Partial launch failure due to guidance problem; attempt to correct using 
spacecraft's engine resulted in it missing the Moon by 36,793 kilometres 
(22,862 mi).[18][19]",,,,,
"Ranger 4

(P-35)",Ranger 4,23-Apr-62,Atlas LV-3 Agena-B,NASA,Impactor,Spacecraft failure
,Ranger 4 lander,,,,Lander,Spacecraft failure
,"Failed to deploy solar panels, ran out of power ten hours after launch; 
incidental impact on the far side of the Moon on 26 April. *First 
spacecraft to impact the far side of the Moon.*[18][20]

The impact made the United States the 2nd country to reach the surface of 
the Moon.",,,,,
"Ranger 5

(P-36)",Ranger 5,18-Oct-62,Atlas LV-3 Agena-B,NASA,Impactor,Spacecraft failure
,Ranger 5 lander,,,,Lander,Spacecraft failure
,"Solar panels erroneously disengaged from power system, failed 8+3⁄4 hours 
after launch when batteries were depleted.[18] Missed the Moon as course 
correction was not completed.[21]",,,,,
Luna E-6 No.2,Luna E-6 No.2,04-Jan-63,Molniya-L,OKB-1,Lander,Launch failure
,"Failed to depart Low Earth orbit;[22] guidance system power failure 
prevented upper-stage ignition.[23]",,,,,
Luna E-6 No.3,Luna E-6 No.3,03-Feb-63,Molniya-L,OKB-1,Lander,Launch failure
,Failed to orbit; guidance failure.[23],,,,,
"Luna 4

(E-6 No.4)",Luna 4,02-Apr-63,Molniya-L,OKB-1,Lander,Spacecraft failure
,"Failed to perform mid-course correction,[23] remained in high Earth orbit 
until given escape velocity by orbital perturbation.[24]",,,,,
"Ranger 6

(P-54)",Ranger 6,30-Jan-64,Atlas LV-3 Agena-B,NASA,Impactor,Spacecraft failure
,"Impacted on 2 February 1964, failed to return images due to power system 
failure.[25][26]",,,,,
Luna E-6 No.6,Luna E-6 No.6,21-Mar-64,Molniya-M,OKB-1,Lander,Launch failure
,"Failed to orbit; third stage underperformed due to oxidiser valve failure.
[25]",,,,,
Luna E-6 No.5,Luna E-6 No.5,20-Apr-64,Molniya-M,OKB-1,Lander,Launch failure
,"Failed to orbit; power failure caused by broken connection resulted in 
premature third-stage cutoff.[25]",,,,,
Ranger 7,Ranger 7,28-Jul-64,Atlas LV-3 Agena-B,NASA,Impactor,Successful
