Mission,Launch Date,Operator,Outcome
Pioneer 0(Able I),17-Aug-58,USAF,Launch failure
Luna E-1 No.1,23-Sep-58,OKB-1,Launch failure
Pioneer 1(Able II),11-Oct-58,NASA,Launch failure
Luna E-1 No.2,11-Oct-58,OKB-1,Launch failure
Pioneer 2(Able III),08-Nov-58,NASA,Launch failure
Luna E-1 No.3,04-Dec-58,OKB-1,Launch failure
Pioneer 3,06-Dec-58,NASA,Launch failure
Luna 1(E-1 No.4),02-Jan-59,OKB-1,Partial failure
Pioneer 4,03-Mar-59,NASA,Partial failure
E-1A No.1,18-Jun-59,OKB-1,Launch failure
Luna 2(E-1A No.2),12-Sep-59,OKB-1,Successful
Luna 3(E-2A No.1),04-Oct-59,OKB-1,Successful
Pioneer P-3Able IVB,26-Nov-59,NASA,Launch failure
Luna E-3 No.1,15-Apr-60,OKB-1,Launch failure
Luna E-3 No.2,16-Apr-60,OKB-1,Launch failure
Pioneer P-30(Able VA),25-Sep-60,NASA,Launch failure
Pioneer P-31(Able VB),15-Dec-60,NASA,Launch failure
Ranger 3(P-34),26-Jan-62,NASA,Spacecraft failure
Ranger 4(P-35),23-Apr-62,NASA,Spacecraft failure
Ranger 5(P-36),18-Oct-62,NASA,Spacecraft failure
Luna E-6 No.2,04-Jan-63,OKB-1,Launch failure
Luna E-6 No.3,03-Feb-63,OKB-1,Launch failure
Luna 4(E-6 No.4),02-Apr-63,OKB-1,Spacecraft failure
Ranger 6(P-54),30-Jan-64,NASA,Spacecraft failure
Luna E-6 No.6,21-Mar-64,OKB-1,Launch failure
Luna E-6 No.5,20-Apr-64,OKB-1,Launch failure
Ranger 7,28-Jul-64,NASA,Successful
Ranger 8,17-Feb-65,NASA,Successful
Kosmos 60(E-6 No.9),12-Mar-65,Lavochkin,Launch failure
Ranger 9,21-Mar-65,NASA,Successful
Luna E-6 No.8,10-Apr-65,Lavochkin,Spacecraft failure
Luna 5(E-6 No.10),09-May-65,Lavochkin,Spacecraft failure
Luna 6(E-6 No.7),08-Jun-65,Lavochkin,Spacecraft failure
Zond 3(3MV-4 No.3),18-Jul-65,Lavochkin,Successful
Luna 7(E-6 No.11),04-Oct-65,Lavochkin,Spacecraft failure
Luna 8(E-6 No.12),03-Dec-65,Lavochkin,Spacecraft failure
Luna 9(E-6 No.13),31-Jan-66,Lavochkin,Successful
Kosmos 111(E-6S No.204),01-Mar-66,Lavochkin,Launch failure
Luna 10(E-6S No.206),31-Mar-66,Lavochkin,Successful
Surveyor 1,30-May-66,NASA,Successful
Explorer 33(AIMP-D),01-Jul-66,NASA,Launch failure
Lunar Orbiter 1,10-Aug-66,NASA,Partial failure
Luna 11(E-6LF No.101),21-Aug-66,Lavochkin,Partial failure
Surveyor 2,20-Sep-66,NASA,Spacecraft failure
Luna 12(E-6LF No.102),22-Oct-66,Lavochkin,Successful
Lunar Orbiter 2,06-Nov-66,NASA,Successful
Luna 13(E-6M No.205),21-Dec-66,Lavochkin,Successful
Lunar Orbiter 3,05-Feb-67,NASA,Successful
Surveyor 3,17-Apr-67,NASA,Successful
Lunar Orbiter 4,04-May-67,NASA,Successful
Surveyor 4,14-Jul-67,NASA,Spacecraft failure
Explorer 35(AIMP-E),19-Jul-67,NASA,Successful
Lunar Orbiter 5,01-Aug-67,NASA,Successful
Surveyor 5,08-Sep-67,NASA,Successful
Soyuz 7K-L1 No.4L,27-Sep-67,Lavochkin,Spacecraft failure
Surveyor 6,07-Nov-67,NASA,Successful
Soyuz 7K-L1 No.5L,22-Nov-67,Lavochkin,Launch failure
Surveyor 7,07-Jan-68,NASA,Successful
Luna E-6LS No.112,07-Feb-68,Lavochkin,Launch failure
Luna 14(E-6LS No.113),07-Apr-68,Lavochkin,Successful
Soyuz 7K-L1 No.7L,22-Apr-68,Lavochkin,Launch failure
Zond 5(7K-L1 No.9L),14-Sep-68,Lavochkin,Successful
Zond 6(7K-L1 No.12L),10-Nov-68,Lavochkin,Spacecraft failure
Apollo 8,21-Dec-68,NASA,Successful
Soyuz 7K-L1 No.13L,20-Jan-69,Lavochkin,Launch failure
Luna E-8 No.201,19-Feb-69,Lavochkin,Launch failure
Soyuz 7K-L1S No.3,21-Feb-69,OKB-1,Launch failure
Apollo 10,18-May-69,NASA,Successful
Luna E-8-5 No.402,14-Jun-69,Lavochkin,Launch failure
Soyuz 7K-L1S No.5,03-Jul-69,OKB-1,Launch failure
Luna 15(E-8-5 No.401),13-Jul-69,Lavochkin,Spacecraft failure
Apollo 11,16-Jul-69,NASA,Successful
Zond 7(7K-L1 No.11L),07-Aug-69,Lavochkin,Successful
Kosmos 300(E-8-5 No.403),23-Sep-69,Lavochkin,Launch failure
Kosmos 305(E-8-5 No.404),22-Oct-69,Lavochkin,Launch failure
Apollo 12,14-Nov-69,NASA,Successful
Luna E-8-5 No.405,06-Feb-70,Lavochkin,Launch failure
Apollo 13,11-Apr-70,NASA,Spacecraft failure
Luna 16(E-8-5 No.406),12-Sep-70,Lavochkin,Successful
Zond 8(7K-L1 No.14L),20-Oct-70,Lavochkin,Successful
Luna 17(E-8 No.203),10-Nov-70,Lavochkin,Successful
Apollo 14,31-Jan-71,NASA,Successful
Apollo 15,26-Jul-71,NASA,Successful
PFS-1,26-Jul-71,NASA,Successful
Luna 18(E-8-5 No.407),02-Sep-71,Lavochkin,Spacecraft failure
Luna 19(E-8LS No.202),28-Sep-71,Lavochkin,Successful
Luna 20(E-8-5 No.408),14-Feb-72,Lavochkin,Successful
Apollo 16,16-Apr-72,NASA,Successful
PFS-2,16-Apr-72,NASA,Successful
Soyuz 7K-LOK No.1,03-Jul-72,OKB-1,Launch failure
Apollo 17,07-Dec-72,NASA,Successful
Luna 21(E-8 No.204),08-Jan-73,Lavochkin,Successful
Explorer 49(RAE-B),10-Jun-73,NASA,Successful
Mariner 10,03-Nov-73,NASA,Successful
Luna 22(E-8LS No.206),29-May-74,Lavochkin,Successful
Luna 23(E-8-5M No.410),16-Oct-75,Lavochkin,Partial failure
Luna E-8-5M No.412,16-Oct-75,Lavochkin,Launch failure
Luna 24(E-8-5M No.413),09-Aug-76,Lavochkin,Successful
ISEE-3(ICE/Explorer 59),12-Aug-78,NASA,Successful
Hiten(MUSES-A),24-Jan-90,ISAS,Successful
Geotail,24-Jul-92,ISAS/NASA,Successful
WIND,01-Nov-94,NASA,Successful
Clementine(DSPSE),25-Jan-94,USAF/NASA,Successful
HGS-1,24-Dec-97,Hughes,Successful
Lunar Prospector(Discovery 3),07-Jan-98,NASA,Successful
Nozomi(PLANET-B),03-Jul-98,ISAS,Successful
WMAP,30-Jun-01,NASA,Successful
SMART-1,27-Sep-03,ESA,Successful
STEREO,25-Oct-06,NASA,Successful
ARTEMIS,17-Feb-07,NASA,Operational
SELENE,14-Sep-07,JAXA,Successful
Chang'e 1,24-Oct-07,CNSA,Successful
Chandrayaan-1,22-Oct-08,ISRO,Successful
Lunar Reconnaissance Orbiter,18-Jun-09,NASA,Operational
LCROSS,18-Jun-09,NASA,Successful
Chang'e 2,01-Oct-10,CNSA,Successful
GRAIL,10 September 2011[77][78],NASA,Successful
LADEE,07-Sep-13,NASA,Successful
Chang'e 3,01-Dec-13,CNSA,Operational
Chang'e 5-T1,23-Oct-14,CNSA,Successful
Manfred Memorial Moon Mission,23-Oct-14,LuxSpace,Successful
TESS,18-Apr-18,NASA,Successful
Queqiao,21-May-18,CNSA,Operational
Longjiang,21-May-18,CNSA,Spacecraft failure
Chang'e 4,07-Dec-18,CNSA,Operational
Beresheet,22-Feb-19,SpaceIL,Spacecraft failure
Chandrayaan-2,22-Jul-19,ISRO,Operational
Chang'e 5,23-Nov-20,CNSA,Operational
CAPSTONE,28 June 2022[90],NASA,Operational
Danuri(Korea Pathfinder Lunar Orbiter),4 August 2022[90],KARI,Operational
Artemis 1,16 November 2022[93],NASA,Successful
LunaH-Map and Lunar IceCube,16-Nov-22,NASA,En route
ArgoMoon,16-Nov-22,ASI,Operational
LunIR,16-Nov-22,Lockheed Martin,Successful
Near-Earth Asteroid Scout,16-Nov-22,NASA,Spacecraft failure
EQUULEUS,16-Nov-22,JAXA,Operational
OMOTENASHI,16-Nov-22,JAXA,Spacecraft failure
BioSentinel,16-Nov-22,NASA,Successful
CubeSat for Solar Particles,16-Nov-22,NASA,Spacecraft failure
Team Miles,16-Nov-22,Fluid & Reason,Successful
Hakuto-R Mission 1,11-Dec-22,ispace,Spacecraft failure
Emirates Lunar Mission,11-Dec-22,UAESA/MBRSC,Spacecraft failure
Lunar Flashlight,11-Dec-22,NASA,Spacecraft failure
Jupiter Icy Moons Explorer,14-Apr-23,ESA,En route
Chandrayaan-3,14-Jul-23,ISRO,Operational
Luna 25,10-Aug-23,Roscosmos,Spacecraft failure
